Employee_ID,Age,Department,Years_of_Experience,Monthly_Working_Hours,Training_Hours_per_Year,Performance_Rating,Job_Satisfaction_Level,Promotion_in_Last_2_Years,Attrition
E1000,59,Sales,27,135,30,3,Medium,Yes,No
E1001,49,Tech,13,132,36,5,Medium,Yes,Yes
E1002,35,Operations,16,197,11,5,Low,No,No
E1003,28,HR,23,204,36,3,High,No,No
E1004,41,Operations,33,192,36,2,Medium,No,No
E1005,59,HR,21,238,3,5,Medium,No,No
E1006,39,HR,9,187,29,4,Medium,No,No
E1007,43,HR,7,193,37,3,Low,No,No
E1008,31,Tech,20,218,41,3,High,No,No
E1009,31,Sales,6,236,37,3,Low,No,Yes
E1010,44,Tech,25,234,26,5,Medium,No,No
E1011,56,Sales,12,173,21,2,Medium,No,Yes
E1012,44,Operations,15,198,0,4,High,No,No
E1013,23,Finance,29,134,47,1,Medium,No,No
E1014,42,Operations,30,237,42,5,Medium,No,No
E1015,22,Tech,4,231,37,3,Medium,No,No
E1016,44,Tech,31,225,19,2,Low,No,Yes
E1017,50,Sales,15,224,17,1,Low,No,Yes
E1018,58,Tech,8,166,5,3,Low,Yes,No
E1019,22,HR,21,237,48,2,Low,No,No
E1020,41,Tech,13,245,11,3,Low,No,No
E1021,53,Sales,15,217,16,3,Medium,No,No
E1022,32,Sales,19,167,21,1,Medium,No,No
E1023,42,HR,14,201,17,3,High,No,No
E1024,45,Sales,25,135,9,3,Medium,No,No
E1025,47,Finance,8,193,23,3,Low,No,No
E1026,48,Operations,0,140,19,3,High,No,No
E1027,36,Tech,34,180,11,3,High,No,Yes
E1028,35,Finance,19,143,3,3,Medium,No,No
E1029,23,Tech,5,142,41,2,Low,No,Yes
E1030,57,Finance,9,206,4,2,High,No,No
E1031,27,Tech,32,121,25,2,Low,No,No
E1032,41,HR,15,172,35,4,Low,No,No
E1033,29,Sales,5,134,15,3,Medium,No,No
E1034,59,Sales,18,241,4,3,Medium,Yes,Yes
E1035,38,HR,30,242,25,4,Low,No,No
E1036,24,Finance,1,211,18,3,Medium,No,No
E1037,45,Operations,17,142,5,3,Medium,No,No
E1038,34,Finance,27,207,23,1,High,No,No
E1039,29,Sales,3,218,30,4,Low,No,Yes
E1040,46,Operations,0,146,30,4,Low,No,No
E1041,22,Tech,15,140,6,4,Medium,No,No
E1042,40,Operations,1,168,9,4,High,No,No
E1043,48,Finance,0,163,38,4,Low,No,No
E1044,27,HR,22,163,21,4,Medium,No,Yes
E1045,28,Tech,25,247,13,3,Low,No,No
E1046,55,Finance,10,142,27,3,Low,No,No
E1047,34,Tech,0,248,41,5,High,No,No
E1048,37,Operations,10,244,21,5,Low,No,No
E1049,56,Sales,23,155,31,3,Medium,No,No
E1050,24,Finance,9,174,10,3,Medium,No,Yes
E1051,22,HR,13,229,13,4,Low,Yes,Yes
E1052,26,Operations,13,135,30,3,High,No,Yes
E1053,24,Finance,6,208,43,2,Medium,No,No
E1054,49,HR,22,137,3,3,Medium,Yes,No
E1055,38,Finance,21,157,44,1,Medium,No,No
E1056,46,Operations,26,139,21,3,Medium,No,No
E1057,54,Finance,1,138,28,4,Medium,No,Yes
E1058,30,Tech,18,132,34,3,Low,No,No
E1059,56,Operations,6,136,12,5,High,No,No
E1060,34,Finance,11,149,19,5,Medium,No,No
E1061,51,Sales,2,162,18,4,Low,No,No
E1062,35,Finance,4,167,14,5,High,No,No
E1063,28,Tech,7,162,25,3,Medium,No,No
E1064,34,HR,13,212,19,3,Medium,No,Yes
E1065,43,HR,6,233,35,4,Low,No,No
E1066,41,HR,6,185,5,3,High,No,No
E1067,36,Sales,31,238,14,3,High,No,No
E1068,38,Tech,7,172,3,3,Medium,No,No
E1069,44,Operations,11,191,5,4,Medium,No,Yes
E1070,46,HR,9,197,1,4,Medium,No,No
E1071,45,Tech,13,193,35,4,Low,No,No
E1072,49,Finance,8,191,49,4,Medium,No,No
