Age,Years_of_Experience,Monthly_Working_Hours,Training_Hours_per_Year,Performance_Rating,Job_Satisfaction_Level,Promotion_in_Last_2_Years,Attrition,Department_HR,Department_Operations,Department_Sales,Department_Tech
59,27,135,30,3,2,1,0,False,False,True,False
49,13,132,36,5,2,1,1,False,False,False,True
35,16,197,11,5,1,0,0,False,True,False,False
28,23,204,36,3,3,0,0,True,False,False,False
41,33,192,36,2,2,0,0,False,True,False,False
59,21,238,3,5,2,0,0,True,False,False,False
39,9,187,29,4,2,0,0,True,False,False,False
43,7,193,37,3,1,0,0,True,False,False,False
31,20,218,41,3,3,0,0,False,False,False,True
31,6,236,37,3,1,0,1,False,False,True,False
44,25,234,26,5,2,0,0,False,False,False,True
56,12,173,21,2,2,0,1,False,False,True,False
44,15,198,0,4,3,0,0,False,True,False,False
23,29,134,47,1,2,0,0,False,False,False,False
42,30,237,42,5,2,0,0,False,True,False,False
22,4,231,37,3,2,0,0,False,False,False,True
44,31,225,19,2,1,0,1,False,False,False,True
50,15,224,17,1,1,0,1,False,False,True,False
58,8,166,5,3,1,1,0,False,False,False,True
22,21,237,48,2,1,0,0,True,False,False,False
41,13,245,11,3,1,0,0,False,False,False,True
53,15,217,16,3,2,0,0,False,False,True,False
32,19,167,21,1,2,0,0,False,False,True,False
42,14,201,17,3,3,0,0,True,False,False,False
45,25,135,9,3,2,0,0,False,False,True,False
47,8,193,23,3,1,0,0,False,False,False,False
48,0,140,19,3,3,0,0,False,True,False,False
36,34,180,11,3,3,0,1,False,False,False,True
35,19,143,3,3,2,0,0,False,False,False,False
23,5,142,41,2,1,0,1,False,False,False,True
57,9,206,4,2,3,0,0,False,False,False,False
27,32,121,25,2,1,0,0,False,False,False,True
41,15,172,35,4,1,0,0,True,False,False,False
29,5,134,15,3,2,0,0,False,False,True,False
59,18,241,4,3,2,1,1,False,False,True,False
38,30,242,25,4,1,0,0,True,False,False,False
24,1,211,18,3,2,0,0,False,False,False,False
45,17,142,5,3,2,0,0,False,True,False,False
34,27,207,23,1,3,0,0,False,False,False,False
29,3,218,30,4,1,0,1,False,False,True,False
46,0,146,30,4,1,0,0,False,True,False,False
22,15,140,6,4,2,0,0,False,False,False,True
40,1,168,9,4,3,0,0,False,True,False,False
48,0,163,38,4,1,0,0,False,False,False,False
27,22,163,21,4,2,0,1,True,False,False,False
28,25,247,13,3,1,0,0,False,False,False,True
55,10,142,27,3,1,0,0,False,False,False,False
34,0,248,41,5,3,0,0,False,False,False,True
37,10,244,21,5,1,0,0,False,True,False,False
56,23,155,31,3,2,0,0,False,False,True,False
24,9,174,10,3,2,0,1,False,False,False,False
22,13,229,13,4,1,1,1,True,False,False,False
26,13,135,30,3,3,0,1,False,True,False,False
24,6,208,43,2,2,0,0,False,False,False,False
49,22,137,3,3,2,1,0,True,False,False,False
38,21,157,44,1,2,0,0,False,False,False,False
46,26,139,21,3,2,0,0,False,True,False,False
54,1,138,28,4,2,0,1,False,False,False,False
30,18,132,34,3,1,0,0,False,False,False,True
56,6,136,12,5,3,0,0,False,True,False,False
34,11,149,19,5,2,0,0,False,False,False,False
51,2,162,18,4,1,0,0,False,False,True,False
35,4,167,14,5,3,0,0,False,False,False,False
28,7,162,25,3,2,0,0,False,False,False,True
34,13,212,19,3,2,0,1,True,False,False,False
43,6,233,35,4,1,0,0,True,False,False,False
41,6,185,5,3,3,0,0,True,False,False,False
36,31,238,14,3,3,0,0,False,False,True,False
38,7,172,3,3,2,0,0,False,False,False,True
44,11,191,5,4,2,0,1,False,True,False,False
46,9,197,1,4,2,0,0,True,False,False,False
45,13,193,35,4,1,0,0,False,False,False,True
49,8,191,49,4,2,0,0,False,False,False,False
35,29,132,14,4,1,0,0,False,False,True,False
21,4,178,11,3,3,1,0,False,False,False,True
45,0,151,39,2,1,0,0,False,False,False,True
27,0,202,43,4,2,0,0,False,True,False,False
29,19,239,40,1,2,0,0,False,False,False,True
44,10,173,6,5,1,0,0,False,True,False,False
21,25,121,21,4,2,1,0,False,False,True,False
28,2,237,7,4,2,0,1,False,False,True,False
44,5,156,41,5,2,0,0,False,False,False,False
31,10,216,10,3,1,0,0,False,True,False,False
37,7,222,1,1,2,0,0,False,True,False,False
28,28,233,29,3,3,1,1,True,False,False,False
55,9,120,3,3,2,0,0,True,False,False,False
55,33,247,24,3,2,0,0,False,False,False,False
53,23,222,20,3,1,1,0,False,False,True,False
25,16,176,24,4,2,0,0,True,False,False,False
59,31,189,8,3,2,0,0,False,False,False,True
48,10,163,7,3,2,0,0,False,False,True,False
27,33,195,4,3,1,0,0,False,False,False,True
29,23,204,45,3,1,0,0,False,True,False,False
28,4,185,27,2,2,0,0,False,False,True,False
32,28,172,1,3,1,0,0,False,False,False,False
54,33,137,20,4,2,1,0,False,True,False,False
53,15,147,48,3,2,0,0,False,True,False,False
43,24,161,7,1,3,0,0,False,False,False,True
44,7,245,33,3,1,0,0,False,True,False,False
57,28,236,22,3,1,0,0,True,False,False,False
55,24,221,14,4,2,0,0,False,False,True,False
42,22,157,26,5,1,0,0,True,False,False,False
47,33,169,1,4,1,0,0,False,False,False,True
55,2,179,27,3,2,0,1,False,False,False,True
